Gen,NbVert,tRewAvg,tRewMax,tDistMax,vRewAvg,vRewMax,vDistMax,vSuccess,T_mutat,T_eval,T_val,T_total,seed,instrType,instrSetName,useInstrTrig,useInstrLogExp,useInstrComparison,useInstrExpensiveArithmetic,useInstrZmmul,useInstrLog2Exp2
0,2009,-424.77,-277.32,277.51,-300.56,-295.8,295.8,0.0,0.0,219.68,2.46,231.71,0,fixedpt,comp,False,False,True,True,False,False
1,2030,-364.34,-207.56,208.9,-228.0,-218.17,219.79,0.1,1.22,276.24,4.78,523.2,0,fixedpt,comp,False,False,True,True,False,False
2,2050,-351.53,-184.48,185.2,-214.27,-203.9,205.64,0.1,1.46,353.76,3.89,892.77,0,fixedpt,comp,False,False,True,True,False,False
3,2067,-332.53,-174.52,177.54,-205.23,-199.87,201.61,0.1,1.61,390.47,4.03,1298.28,0,fixedpt,comp,False,False,True,True,False,False
4,2072,-321.06,-165.93,168.52,-201.92,-177.99,179.52,0.09,1.79,423.97,5.71,1739.8,0,fixedpt,comp,False,False,True,True,False,False
5,2082,-334.52,-182.85,185.21,-196.29,-187.74,190.76,0.18,2.18,413.73,4.76,2168.02,0,fixedpt,comp,False,False,True,True,False,False
6,2087,-277.9,-124.09,127.3,-174.46,-148.98,151.66,0.16,2.2,472.79,4.96,2657.02,0,fixedpt,comp,False,False,True,True,False,False
7,2092,-292.93,-124.95,129.77,-152.58,-148.98,151.66,0.16,2.68,479.57,6.05,3155.23,0,fixedpt,comp,False,False,True,True,False,False
8,2098,-320.32,-134.89,137.89,-157.09,-148.98,151.66,0.16,2.83,479.06,4.97,3650.77,0,fixedpt,comp,False,False,True,True,False,False
9,2099,-282.58,-111.55,115.57,-149.23,-148.98,151.66,0.16,2.96,506.14,6.31,4177.08,0,fixedpt,comp,False,False,True,True,False,False
10,2099,-283.2,-119.68,123.39,-150.12,-141.83,144.51,0.16,2.88,511.92,5.77,4708.52,0,fixedpt,comp,False,False,True,True,False,False
11,2101,-260.93,-116.18,120.37,-141.83,-141.83,144.51,0.16,2.82,551.77,6.04,5279.39,0,fixedpt,comp,False,False,True,True,False,False
12,2107,-267.77,-133.25,136.42,-141.47,-140.11,142.79,0.16,2.78,541.51,6.88,5840.11,0,fixedpt,comp,False,False,True,True,False,False
13,2107,-261.1,-132.67,135.71,-142.99,-142.67,145.35,0.16,2.86,560.71,7.12,6420.95,0,fixedpt,comp,False,False,True,True,False,False
14,2107,-223.2,-133.92,136.82,-146.48,-141.62,143.82,0.13,2.74,591.6,7.36,7032.05,0,fixedpt,comp,False,False,True,True,False,False
15,2111,-241.24,-131.19,133.66,-148.31,-143.86,145.32,0.09,3.2,561.78,8.11,7614.75,0,fixedpt,comp,False,False,True,True,False,False
