Gen,NbVert,tRewAvg,tRewMax,tDistMax,vRewAvg,vRewMax,vDistMax,vSuccess,T_mutat,T_eval,T_val,T_total,seed,instrType,instrSetName
0,2009,-416.06,-263.79,263.79,-302.17,-279.43,279.43,0.0,0.0,152.08,1.47,161.7,8,fixedpt,compBare
1,2030,-362.88,-199.15,200.54,-201.62,-189.21,191.18,0.12,0.77,202.61,2.6,374.9,8,fixedpt,compBare
2,2049,-354.18,-181.28,183.01,-191.15,-187.29,189.26,0.12,1.0,240.47,2.49,625.1,8,fixedpt,compBare
3,2066,-336.03,-169.74,172.07,-178.11,-167.34,169.44,0.13,1.16,263.71,2.36,899.17,8,fixedpt,compBare
4,2079,-312.17,-138.32,141.7,-161.81,-145.66,148.76,0.19,1.47,268.4,3.44,1179.49,8,fixedpt,compBare
5,2089,-304.18,-142.73,145.51,-152.53,-147.39,149.85,0.15,1.69,273.47,3.55,1466.43,8,fixedpt,compBare
6,2103,-295.64,-143.47,145.82,-153.82,-139.85,142.83,0.18,1.9,302.88,3.38,1780.98,8,fixedpt,compBare
7,2100,-297.96,-135.92,136.39,-144.01,-126.24,129.2,0.18,1.97,304.13,3.87,2097.27,8,fixedpt,compBare
8,2109,-293.14,-122.42,125.08,-128.1,-126.24,129.2,0.18,1.9,280.01,4.4,2390.87,8,fixedpt,compBare
9,2105,-278.3,-120.93,123.78,-134.36,-121.16,124.27,0.19,1.86,300.01,4.36,2703.53,8,fixedpt,compBare
10,2110,-255.7,-105.87,110.24,-122.48,-121.16,124.27,0.19,2.0,327.36,4.65,3046.83,8,fixedpt,compBare
11,2108,-250.04,-113.95,117.6,-125.81,-121.91,125.05,0.19,2.05,343.24,4.06,3403.52,8,fixedpt,compBare
12,2104,-240.46,-101.83,106.01,-121.02,-115.45,118.56,0.19,2.03,373.96,3.87,3790.07,8,fixedpt,compBare
13,2102,-218.59,-90.91,95.11,-118.36,-110.5,113.33,0.17,1.99,375.79,4.32,4178.86,8,fixedpt,compBare
14,2101,-211.44,-103.36,106.72,-116.55,-116.39,119.53,0.19,1.92,350.24,4.0,4541.23,8,fixedpt,compBare
15,2101,-211.92,-104.64,107.4,-103.76,-98.79,101.61,0.17,2.0,384.31,4.19,4938.78,8,fixedpt,compBare
16,2107,-200.47,-95.48,98.36,-101.44,-98.79,101.61,0.17,2.16,360.86,4.4,5312.9,8,fixedpt,compBare
17,2114,-184.67,-89.06,92.27,-99.74,-98.79,101.61,0.17,2.2,425.63,4.39,5752.32,8,fixedpt,compBare
18,2109,-187.99,-86.61,90.45,-101.8,-99.15,102.29,0.19,2.38,403.48,4.62,6169.99,8,fixedpt,compBare
19,2118,-178.34,-90.7,93.57,-98.45,-93.02,95.84,0.17,2.44,377.06,5.24,6560.61,8,fixedpt,compBare
20,2121,-155.99,-81.26,84.69,-95.75,-91.78,94.92,0.19,2.58,390.04,5.05,6964.97,8,fixedpt,compBare
21,2111,-190.58,-83.28,86.45,-96.56,-88.02,90.99,0.18,2.64,398.28,4.94,7377.68,8,fixedpt,compBare
22,2119,-207.17,-94.7,96.88,-94.36,-84.93,88.07,0.19,2.84,406.39,4.92,7798.54,8,fixedpt,compBare
23,2120,-185.92,-75.89,79.72,-89.07,-84.93,88.07,0.19,2.87,419.38,5.5,8233.79,8,fixedpt,compBare
24,2123,-165.39,-80.93,85.14,-84.93,-84.93,88.07,0.19,2.95,467.56,5.51,8716.95,8,fixedpt,compBare
25,2131,-189.76,-87.23,90.55,-88.23,-84.93,88.07,0.19,3.26,440.76,6.13,9173.89,8,fixedpt,compBare
26,2138,-188.59,-78.29,81.48,-94.65,-93.93,96.01,0.12,3.31,418.34,6.05,9607.8,8,fixedpt,compBare
27,2135,-179.72,-66.25,69.59,-78.72,-68.74,71.5,0.16,3.23,447.29,6.28,10071.68,8,fixedpt,compBare
28,2137,-193.66,-70.42,73.07,-78.45,-68.74,71.5,0.16,3.31,413.15,6.17,10502.68,8,fixedpt,compBare
29,2139,-164.69,-68.06,71.29,-68.91,-65.72,68.11,0.14,3.3,436.31,6.31,10955.41,8,fixedpt,compBare
30,2133,-171.28,-53.72,57.22,-66.57,-65.1,67.5,0.14,3.26,400.29,6.31,11372.02,8,fixedpt,compBare
31,2134,-163.99,-61.35,63.87,-67.2,-65.1,67.5,0.14,3.31,472.82,6.59,11860.12,8,fixedpt,compBare
32,2139,-153.31,-60.56,64.3,-67.07,-65.75,68.5,0.16,3.12,467.7,6.37,12344.36,8,fixedpt,compBare
33,2141,-165.24,-47.29,51.81,-65.95,-65.53,68.29,0.16,3.32,505.86,6.95,12867.77,8,fixedpt,compBare
34,2132,-168.76,-69.31,72.02,-67.02,-65.53,68.29,0.16,3.25,515.54,7.11,13401.23,8,fixedpt,compBare
35,2129,-146.34,-58.59,61.81,-67.36,-65.34,67.92,0.15,3.3,556.21,7.03,13975.15,8,fixedpt,compBare
36,2130,-162.74,-69.33,72.25,-65.4,-63.47,66.68,0.19,3.36,531.53,7.09,14523.91,8,fixedpt,compBare
37,2126,-148.57,-64.98,68.19,-64.91,-63.42,66.52,0.18,3.16,563.61,7.13,15104.66,8,fixedpt,compBare
38,2125,-128.5,-56.36,60.34,-67.92,-64.76,67.32,0.15,3.19,566.67,7.4,15689.32,8,fixedpt,compBare
39,2128,-136.34,-57.08,60.9,-63.47,-62.89,65.99,0.18,3.11,611.23,6.38,16318.33,8,fixedpt,compBare
40,2132,-143.92,-65.51,68.61,-67.83,-62.89,65.99,0.18,3.26,560.83,7.33,16895.67,8,fixedpt,compBare
41,2135,-131.79,-61.82,63.04,-73.02,-69.54,71.96,0.14,3.36,580.46,7.57,17495.74,8,fixedpt,compBare
42,2130,-137.52,-58.08,61.11,-65.3,-63.12,66.22,0.18,3.25,615.46,7.38,18128.62,8,fixedpt,compBare
43,2138,-146.84,-69.94,72.83,-63.18,-59.6,62.33,0.16,3.42,617.42,7.58,18763.75,8,fixedpt,compBare
44,2139,-119.95,-53.09,56.11,-68.95,-66.68,69.1,0.14,3.64,545.84,7.72,19328.17,8,fixedpt,compBare
45,2134,-123.21,-61.5,63.92,-69.79,-65.68,68.28,0.15,3.41,614.19,7.51,19959.89,8,fixedpt,compBare
46,2136,-114.61,-50.37,54.13,-65.99,-64.37,67.46,0.18,3.54,592.67,7.87,20571.45,8,fixedpt,compBare
47,2140,-132.45,-63.01,67.15,-66.14,-64.48,67.58,0.18,3.56,672.1,9.55,21262.32,8,fixedpt,compBare
48,2139,-127.66,-62.27,65.96,-66.72,-66.07,69.11,0.18,3.54,678.92,8.53,21959.47,8,fixedpt,compBare
49,2141,-136.67,-51.97,55.98,-65.69,-65.28,68.33,0.18,3.62,641.29,8.67,22619.41,8,fixedpt,compBare
50,2140,-140.46,-65.55,69.33,-65.86,-64.48,67.58,0.18,3.61,694.95,9.37,23333.3,8,fixedpt,compBare
51,2135,-132.39,-61.15,62.86,-71.35,-64.6,67.64,0.18,3.73,725.44,8.25,24076.75,8,fixedpt,compBare
52,2143,-131.4,-47.77,51.68,-61.61,-59.78,63.04,0.19,3.65,689.55,9.66,24787.83,8,fixedpt,compBare
53,2144,-103.78,-50.1,54.22,-62.1,-60.18,63.09,0.17,3.58,725.11,9.27,25533.07,8,fixedpt,compBare
54,2147,-134.63,-61.13,64.72,-62.74,-59.6,62.33,0.16,3.74,812.35,9.83,26365.99,8,fixedpt,compBare
55,2148,-117.48,-49.29,52.77,-64.76,-63.61,67.0,0.2,3.85,721.81,9.21,27107.22,8,fixedpt,compBare
56,2145,-119.48,-55.82,59.75,-65.18,-62.31,65.24,0.17,3.77,805.33,8.83,27932.87,8,fixedpt,compBare
57,2148,-111.42,-59.53,62.24,-60.98,-59.59,62.31,0.16,3.69,738.63,10.06,28692.14,8,fixedpt,compBare
58,2148,-122.6,-59.75,63.01,-60.38,-59.11,62.36,0.19,3.86,719.9,9.93,29433.21,8,fixedpt,compBare
59,2146,-122.95,-44.89,49.42,-60.14,-58.1,61.02,0.17,3.85,811.2,9.45,30264.17,8,fixedpt,compBare
60,2146,-112.41,-46.01,49.07,-56.38,-55.05,57.94,0.17,3.78,780.44,10.81,31064.76,8,fixedpt,compBare
61,2141,-115.24,-50.85,56.11,-59.48,-59.22,61.46,0.13,3.77,841.14,9.77,31927.93,8,fixedpt,compBare
62,2138,-107.32,-42.23,46.48,-59.08,-56.37,59.09,0.16,3.67,827.68,9.4,32774.11,8,fixedpt,compBare
63,2136,-121.55,-48.82,52.98,-58.17,-51.65,55.37,0.22,3.69,842.49,8.52,33634.19,8,fixedpt,compBare
64,2143,-105.44,-50.51,55.22,-54.67,-50.74,54.11,0.2,3.65,788.88,9.13,34442.88,8,fixedpt,compBare
65,2149,-107.96,-39.69,43.21,-56.72,-54.3,57.2,0.17,3.64,856.77,8.76,35318.38,8,fixedpt,compBare
66,2150,-108.45,-45.99,49.73,-51.93,-50.74,54.11,0.2,3.7,756.45,10.47,36097.05,8,fixedpt,compBare
67,2152,-108.05,-41.66,46.63,-50.28,-47.96,51.53,0.21,3.77,759.57,8.83,36875.93,8,fixedpt,compBare
68,2156,-105.14,-43.63,48.18,-51.58,-48.85,52.22,0.2,3.88,830.97,8.99,37727.48,8,fixedpt,compBare
69,2155,-108.78,-48.65,53.01,-56.0,-52.98,56.23,0.19,3.78,867.52,11.31,38617.23,8,fixedpt,compBare
70,2150,-97.5,-47.37,51.24,-51.38,-48.57,52.14,0.21,3.91,854.42,9.68,39493.31,8,fixedpt,compBare
71,2153,-97.22,-44.71,48.79,-52.53,-51.69,55.11,0.2,3.76,817.29,9.24,40330.62,8,fixedpt,compBare
72,2150,-96.66,-47.09,52.45,-50.04,-47.59,51.16,0.21,3.82,928.17,9.88,41279.27,8,fixedpt,compBare
73,2149,-104.26,-48.51,53.41,-52.59,-52.21,55.61,0.2,3.79,884.43,9.38,42184.01,8,fixedpt,compBare
74,2154,-95.6,-45.36,50.23,-50.28,-49.13,52.39,0.19,4.02,900.8,9.9,43104.75,8,fixedpt,compBare
75,2153,-96.93,-38.01,44.23,-50.0,-49.13,52.71,0.21,4.0,1015.88,10.25,44141.74,8,fixedpt,compBare
76,2148,-94.48,-41.55,46.49,-51.63,-51.26,54.69,0.2,4.07,835.79,10.47,44998.94,8,fixedpt,compBare
77,2152,-95.78,-51.42,54.88,-49.58,-48.85,52.22,0.2,3.91,966.12,10.26,45986.88,8,fixedpt,compBare
78,2154,-100.26,-50.29,54.41,-50.64,-49.13,52.71,0.21,3.84,880.78,10.16,46888.47,8,fixedpt,compBare
79,2154,-88.67,-43.43,49.1,-49.08,-48.76,52.67,0.23,3.99,840.82,9.46,47750.23,8,fixedpt,compBare
80,2151,-92.68,-50.71,55.26,-49.04,-48.87,52.43,0.21,3.97,945.08,10.05,48716.22,8,fixedpt,compBare
81,2153,-88.19,-41.67,46.15,-50.85,-50.14,53.88,0.22,3.95,947.08,11.23,49684.95,8,fixedpt,compBare
82,2158,-92.59,-45.81,50.44,-50.33,-49.11,52.68,0.21,3.96,998.63,10.17,50703.78,8,fixedpt,compBare
83,2158,-89.92,-41.47,45.61,-50.09,-49.95,53.99,0.24,4.06,966.37,10.37,51691.07,8,fixedpt,compBare
84,2154,-96.78,-48.79,53.12,-49.81,-49.09,52.47,0.2,3.95,916.64,10.39,52628.85,8,fixedpt,compBare
85,2160,-81.31,-39.89,44.74,-48.72,-47.38,51.11,0.22,3.97,930.01,10.66,53580.3,8,fixedpt,compBare
86,2160,-112.53,-53.7,57.31,-49.1,-47.93,51.66,0.22,3.93,929.08,11.34,54531.96,8,fixedpt,compBare
87,2162,-93.13,-39.87,45.23,-48.5,-48.42,52.5,0.24,4.01,1018.06,9.91,55571.24,8,fixedpt,compBare
88,2150,-95.71,-37.71,44.05,-48.59,-48.59,52.49,0.23,3.97,968.71,12.9,56563.62,8,fixedpt,compBare
89,2151,-105.2,-49.91,54.2,-48.02,-46.62,50.67,0.24,3.73,1021.52,10.51,57606.29,8,fixedpt,compBare
90,2152,-106.24,-43.11,48.27,-46.63,-46.62,50.67,0.24,3.68,1022.52,10.28,58649.85,8,fixedpt,compBare
91,2151,-89.91,-38.63,43.15,-48.75,-47.43,51.5,0.24,3.72,1062.44,10.84,59733.82,8,fixedpt,compBare
92,2158,-99.2,-45.22,50.0,-47.49,-46.47,50.49,0.24,3.64,1084.68,10.64,60839.72,8,fixedpt,compBare
93,2153,-81.85,-33.61,39.03,-47.7,-46.77,50.62,0.23,3.65,1052.83,10.43,61914.06,8,fixedpt,compBare
94,2161,-95.0,-35.8,41.7,-48.03,-47.17,51.38,0.25,3.7,1031.29,10.39,62965.6,8,fixedpt,compBare
95,2159,-88.51,-35.47,40.58,-47.55,-47.18,51.42,0.25,3.89,1097.02,9.77,64083.27,8,fixedpt,compBare
96,2157,-79.96,-33.72,39.82,-48.55,-46.25,50.31,0.24,3.76,1094.38,10.48,65198.67,8,fixedpt,compBare
97,2154,-81.32,-33.15,38.08,-46.19,-46.05,50.12,0.24,3.81,1066.95,10.6,66287.84,8,fixedpt,compBare
98,2158,-85.9,-42.55,47.74,-47.71,-46.62,50.67,0.24,3.77,1107.77,10.69,67416.73,8,fixedpt,compBare
99,2152,-83.31,-41.35,45.7,-50.97,-47.91,51.76,0.23,3.84,1104.0,10.69,68542.45,8,fixedpt,compBare
0,2009,-424.57,-276.8,276.8,-299.03,-265.96,265.96,0.0,0.0,224.8,1.93,235.67,9,fixedpt,compBare
1,2029,-353.47,-191.27,194.11,-230.51,-223.59,223.59,0.0,0.87,287.6,3.2,537.22,9,fixedpt,compBare
2,2048,-356.3,-192.98,193.83,-212.8,-192.45,194.53,0.13,1.3,344.04,3.55,895.89,9,fixedpt,compBare
3,2061,-339.64,-177.97,178.31,-194.76,-185.84,187.93,0.13,1.41,383.53,3.74,1293.18,9,fixedpt,compBare
4,2076,-334.56,-180.24,180.76,-187.39,-171.48,173.57,0.13,1.59,412.2,4.03,1720.34,9,fixedpt,compBare
5,2088,-288.26,-160.35,160.86,-186.25,-172.34,174.01,0.1,1.52,437.72,4.37,2173.68,9,fixedpt,compBare
6,2094,-307.55,-169.57,170.26,-167.39,-160.26,160.43,0.01,1.8,522.98,4.4,2711.45,9,fixedpt,compBare
7,2102,-290.67,-148.66,149.51,-155.92,-131.45,134.09,0.15,2.04,505.27,4.46,3231.21,9,fixedpt,compBare
8,2097,-277.68,-149.79,150.82,-165.47,-140.11,141.96,0.11,1.98,549.88,4.33,3796.5,9,fixedpt,compBare
9,2094,-273.93,-129.46,131.57,-147.1,-128.48,130.93,0.14,2.29,510.28,4.51,4324.23,9,fixedpt,compBare
