Gen,NbVert,tRewAvg,tRewMax,tDistMax,vRewAvg,vRewMax,vDistMax,vSuccess,T_mutat,T_eval,T_val,T_total,seed,instrType,instrSetName
0,2009,-421.7,-284.25,284.25,-307.82,-301.05,301.05,0.0,0.0,152.58,1.33,160.84,6,double,logexp
1,2031,-370.93,-189.78,192.07,-233.11,-195.89,198.24,0.14,0.78,205.36,2.76,375.9,6,double,logexp
2,2052,-360.71,-193.9,196.58,-226.71,-220.19,221.41,0.07,1.04,244.34,2.98,630.49,6,double,logexp
3,2068,-330.61,-134.56,138.81,-180.15,-156.83,160.08,0.19,1.22,276.6,2.73,918.11,6,double,logexp
4,2079,-321.05,-138.0,141.78,-174.31,-142.15,145.88,0.22,1.36,287.91,3.55,1218.87,6,double,logexp
5,2090,-302.41,-132.44,136.3,-154.7,-135.02,137.92,0.17,1.55,308.61,3.87,1538.86,6,double,logexp
6,2086,-275.55,-127.6,131.85,-140.35,-135.02,137.92,0.17,1.74,347.46,4.03,1899.03,6,double,logexp
7,2090,-275.66,-116.39,118.2,-117.89,-116.61,118.46,0.11,1.65,372.36,3.9,2282.7,6,double,logexp
8,2093,-243.44,-118.33,121.62,-129.19,-116.61,118.46,0.11,1.69,378.76,4.23,2673.94,6,double,logexp
9,2099,-231.36,-113.21,117.68,-122.18,-122.18,125.91,0.22,1.64,393.41,4.48,3080.02,6,double,logexp
10,2106,-212.12,-96.43,98.53,-116.86,-114.24,118.49,0.25,1.67,429.01,4.41,3522.93,6,double,logexp
11,2102,-213.43,-108.52,112.06,-110.68,-97.98,101.71,0.22,1.73,441.09,4.48,3977.08,6,double,logexp
12,2101,-192.25,-102.45,106.56,-98.29,-97.98,101.71,0.22,1.68,456.2,3.92,4445.61,6,double,logexp
13,2103,-205.41,-91.35,94.8,-106.55,-106.07,108.98,0.17,1.74,438.34,4.64,4897.23,6,double,logexp
14,2104,-197.82,-95.89,100.34,-101.14,-99.3,103.03,0.22,1.93,480.61,4.64,5391.42,6,double,logexp
15,2106,-206.66,-104.43,107.7,-100.81,-97.98,101.71,0.22,2.05,464.92,4.82,5870.82,6,double,logexp
16,2101,-178.18,-101.24,105.45,-99.66,-96.52,99.29,0.16,2.05,500.46,4.89,6386.76,6,double,logexp
17,2105,-187.28,-82.34,86.23,-99.97,-94.4,97.31,0.17,2.09,490.6,5.2,6891.34,6,double,logexp
18,2109,-164.45,-68.99,74.07,-95.97,-93.65,97.38,0.22,2.19,497.62,4.53,7402.68,6,double,logexp
19,2114,-187.11,-96.21,98.5,-96.36,-93.65,97.38,0.22,2.36,514.23,5.41,7931.03,6,double,logexp
20,2112,-176.14,-89.77,93.73,-97.93,-97.42,100.31,0.17,2.51,544.7,5.94,8491.7,6,double,logexp
21,2106,-168.56,-86.9,91.24,-91.53,-77.54,81.25,0.22,2.61,551.38,6.03,9058.42,6,double,logexp
22,2107,-176.08,-88.19,92.0,-77.74,-77.54,81.25,0.22,2.64,584.17,5.69,9657.14,6,double,logexp
23,2109,-164.31,-71.8,75.83,-80.48,-77.2,81.09,0.23,2.87,534.8,5.65,10207.32,6,double,logexp
24,2116,-163.2,-79.14,82.65,-77.99,-77.18,80.86,0.22,3.05,534.39,7.0,10760.09,6,double,logexp
25,2119,-166.77,-76.81,80.98,-77.1,-77.1,80.98,0.23,3.19,557.75,5.97,11334.1,6,double,logexp
26,2121,-157.09,-84.79,88.89,-78.7,-77.11,81.0,0.23,3.23,560.18,6.75,11912.11,6,double,logexp
27,2124,-158.96,-81.12,85.56,-77.26,-75.74,79.62,0.23,3.45,568.22,6.95,12497.96,6,double,logexp
28,2130,-134.47,-80.07,84.47,-76.89,-75.98,79.68,0.22,3.49,621.55,6.65,13136.33,6,double,logexp
29,2136,-156.13,-82.6,86.47,-80.21,-74.79,78.68,0.23,3.77,606.74,7.64,13762.46,6,double,logexp
30,2139,-148.27,-74.55,80.88,-77.88,-72.2,76.56,0.26,3.76,606.06,6.86,14386.08,6,double,logexp
31,2134,-156.03,-75.36,80.14,-78.59,-74.08,77.97,0.23,3.97,617.63,7.41,15022.19,6,double,logexp
