Gen,NbVert,tRewAvg,tRewMax,tDistMax,vRewAvg,vRewMax,vDistMax,vSuccess,T_mutat,T_eval,T_val,T_total,seed,instrType,instrSetName
0,2009,-423.11,-292.38,292.38,-289.63,-265.92,265.92,0.0,0.0,221.35,2.57,234.37,9,fixedpt,l2e2compZmmul
1,2030,-360.87,-205.07,205.07,-239.1,-219.13,221.28,0.13,1.16,293.82,3.12,543.66,9,fixedpt,l2e2compZmmul
2,2050,-366.95,-189.88,192.01,-210.21,-208.36,208.36,0.0,1.49,331.25,3.3,890.1,9,fixedpt,l2e2compZmmul
3,2064,-344.77,-191.73,193.22,-198.3,-190.0,191.82,0.11,1.62,362.03,4.58,1267.52,9,fixedpt,l2e2compZmmul
4,2079,-331.13,-174.06,175.09,-190.45,-174.21,174.55,0.02,1.74,388.79,3.89,1671.91,9,fixedpt,l2e2compZmmul
5,2084,-283.07,-135.42,139.34,-158.77,-142.92,146.09,0.19,1.69,406.97,4.64,2095.62,9,fixedpt,l2e2compZmmul
6,2089,-340.31,-155.19,158.25,-141.79,-127.87,131.94,0.24,2.14,440.99,5.01,2552.83,9,fixedpt,l2e2compZmmul
7,2096,-309.59,-137.1,138.96,-145.1,-142.92,146.09,0.19,2.17,430.88,5.07,2999.4,9,fixedpt,l2e2compZmmul
8,2103,-301.55,-129.79,134.54,-140.29,-129.78,134.06,0.25,2.24,456.74,5.33,3473.36,9,fixedpt,l2e2compZmmul
9,2105,-264.64,-126.52,130.6,-138.27,-127.87,131.95,0.24,2.25,501.41,4.97,3993.36,9,fixedpt,l2e2compZmmul
10,2110,-236.86,-107.68,112.02,-122.68,-111.27,115.35,0.24,2.0,553.47,4.34,4564.27,9,fixedpt,l2e2compZmmul
11,2110,-271.59,-120.0,122.4,-127.24,-115.46,119.49,0.24,2.22,531.36,5.11,5113.5,9,fixedpt,l2e2compZmmul
12,2103,-261.24,-91.42,96.27,-104.97,-96.37,100.78,0.26,2.27,533.77,6.27,5667.72,9,fixedpt,l2e2compZmmul
13,2105,-265.86,-81.84,85.35,-96.12,-86.07,90.15,0.24,2.29,533.14,5.24,6217.73,9,fixedpt,l2e2compZmmul
14,2105,-265.39,-103.13,106.93,-91.37,-86.07,90.15,0.24,2.47,522.83,6.14,6759.2,9,fixedpt,l2e2compZmmul
15,2108,-233.91,-84.54,88.19,-86.45,-86.07,90.15,0.24,2.3,557.62,5.57,7335.69,9,fixedpt,l2e2compZmmul
16,2112,-270.4,-87.97,92.23,-86.07,-86.07,90.15,0.24,2.73,536.25,6.08,7892.69,9,fixedpt,l2e2compZmmul
17,2116,-256.61,-89.62,93.47,-84.49,-82.11,86.4,0.25,2.84,547.85,5.55,8458.89,9,fixedpt,l2e2compZmmul
18,2120,-187.14,-65.92,70.73,-81.09,-74.7,78.72,0.24,2.44,582.32,4.61,9058.35,9,fixedpt,l2e2compZmmul
